mention_name,mention_type,mention_popularity,mention_address,mention_found_in_blogFiles
west beverly hills,city,36,"Beverly Hills, Los Angeles County, California, United States of America",beverly hills_and_santa clarita.json
san francisco station,city,61,"SF, California, United States of America","san diego_and_sausalito.json,san francisco_and_sausalito.json"
artesia,city,740,"Artesia, Los Angeles County, California, United States of America","bakersfield_and_beverly hills.json,bakersfield_and_santa monica.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,carlsbad_and_fremont.json,carlsbad_and_malibu.json,carlsbad_and_napa.json,carlsbad_and_riverside.json,carlsbad_and_santa ana.json,fresno_and_long beach.json,fresno_and_santa ana.json,long beach_and_pasadena.json,long beach_and_san bernardino.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_san jose.json,pasadena_and_riverside.json,sacramento_and_santa ana.json,santa monica_and_temecula.json"
cerritos,city,386,"Cerritos, Los Angeles County, California, United States of America","beverly hills_and_santa ana.json,long beach_and_santa monica.json,long beach_and_los angeles.json,los angeles_and_santa ana.json,los angeles_and_santa clarita.json,malibu_and_santa ana.json,pasadena_and_santa ana.json,pasadena_and_santa clarita.json,pasadena_and_santa monica.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa clarita.json,santa ana_and_santa monica.json"
huntington beach,city,10560,"Huntington Beach, Orange County, California, United States of America","anaheim_and_avalon.json,anaheim_and_berkeley.json,anaheim_and_carlsbad.json,anaheim_and_fremont.json,anaheim_and_fresno.json,anaheim_and_huntington beach.json,anaheim_and_irvine.json,anaheim_and_long beach.json,anaheim_and_los angeles.json,anaheim_and_malibu.json,anaheim_and_monterey.json,anaheim_and_newport beach.json,anaheim_and_oakland.json,anaheim_and_pismo beach.json,anaheim_and_riverside.json,anaheim_and_sacramento.json,anaheim_and_san bernardino.json,anaheim_and_san diego.json,anaheim_and_san francisco.json,anaheim_and_san jose.json,anaheim_and_san luis obispo.json,anaheim_and_santa clarita.json,anaheim_and_santa cruz.json,anaheim_and_sausalito.json,anaheim_and_stockton.json,anaheim_and_temecula.json,avalon_and_bakersfield.json,avalon_and_big bear lake.json,avalon_and_fresno.json,avalon_and_huntington beach.json,avalon_and_irvine.json,avalon_and_long beach.json,avalon_and_monterey.json,avalon_and_oakland.json,avalon_and_riverside.json,avalon_and_san bernardino.json,avalon_and_san diego.json,avalon_and_san jose.json,avalon_and_san luis obispo.json,avalon_and_malibu.json,bakersfield_and_huntington beach.json,bakersfield_and_san bernardino.json,berkeley_and_long beach.json,beverly hills_and_carlsbad.json,beverly hills_and_pismo beach.json,avalon_and_santa barbara.json,avalon_and_santa clarita.json,avalon_and_santa cruz.json,avalon_and_santa monica.json,avalon_and_sausalito.json,bakersfield_and_beverly hills.json,bakersfield_and_long beach.json,bakersfield_and_mammoth lakes.json,bakersfield_and_monterey.json,bakersfield_and_newport beach.json,bakersfield_and_oakland.json,bakersfield_and_riverside.json,bakersfield_and_santa clarita.json,bakersfield_and_santa monica.json,bakersfield_and_sausalito.json,bakersfield_and_stockton.json,bakersfield_and_temecula.json,berkeley_and_newport beach.json,berkeley_and_pismo beach.json,berkeley_and_san diego.json,berkeley_and_santa monica.json,berkeley_and_temecula.json,beverly hills_and_big bear lake.json,berkeley_and_huntington beach.json,beverly hills_and_fresno.json,beverly hills_and_huntington beach.json,beverly hills_and_long beach.json,beverly hills_and_newport beach.json,beverly hills_and_oakland.json,beverly hills_and_sacramento.json,beverly hills_and_san bernardino.json,beverly hills_and_san jose.json,beverly hills_and_santa ana.json,beverly hills_and_temecula.json,big bear lake_and_long beach.json,big bear lake_and_oakland.json,big bear lake_and_san jose.json,big bear lake_and_san luis obispo.json,big bear lake_and_santa ana.json,big bear lake_and_santa barbara.json,big bear lake_and_santa clarita.json,big bear lake_and_santa cruz.json,big bear lake_and_santa monica.json,big bear lake_and_sausalito.json,big bear lake_and_stockton.json,carlsbad_and_fresno.json,carlsbad_and_huntington beach.json,carlsbad_and_irvine.json,carlsbad_and_long beach.json,carlsbad_and_malibu.json,carlsbad_and_newport beach.json,carlsbad_and_oakland.json,carlsbad_and_pasadena.json,carlsbad_and_pismo beach.json,carlsbad_and_riverside.json,carlsbad_and_sacramento.json,carlsbad_and_san jose.json,carlsbad_and_santa barbara.json,carlsbad_and_santa clarita.json,carlsbad_and_santa cruz.json,carlsbad_and_santa monica.json,carlsbad_and_stockton.json,fremont_and_huntington beach.json,fremont_and_long beach.json,fremont_and_los angeles.json,fremont_and_malibu.json,fremont_and_newport beach.json,fremont_and_pasadena.json,fremont_and_pismo beach.json,fremont_and_san diego.json,fremont_and_santa ana.json,fremont_and_santa barbara.json,fremont_and_santa clarita.json,fremont_and_santa monica.json,fresno_and_huntington beach.json,fresno_and_irvine.json,fresno_and_long beach.json,fresno_and_los angeles.json,fresno_and_malibu.json,fresno_and_pasadena.json,fresno_and_san bernardino.json,fresno_and_san diego.json,fresno_and_santa ana.json,fresno_and_santa barbara.json,fresno_and_santa monica.json,fresno_and_temecula.json,huntington beach_and_irvine.json,huntington beach_and_long beach.json,huntington beach_and_los angeles.json,huntington beach_and_mammoth lakes.json,huntington beach_and_monterey.json,huntington beach_and_napa.json,huntington beach_and_newport beach.json,huntington beach_and_oakland.json,huntington beach_and_pasadena.json,huntington beach_and_pismo beach.json,huntington beach_and_riverside.json,huntington beach_and_sacramento.json,huntington beach_and_san bernardino.json,huntington beach_and_san diego.json,huntington beach_and_san francisco.json,huntington beach_and_san luis obispo.json,huntington beach_and_santa ana.json,huntington beach_and_santa barbara.json,huntington beach_and_santa clarita.json,huntington beach_and_santa cruz.json,huntington beach_and_santa monica.json,huntington beach_and_sausalito.json,huntington beach_and_stockton.json,huntington beach_and_temecula.json,irvine_and_long beach.json,irvine_and_los angeles.json,irvine_and_malibu.json,irvine_and_monterey.json,irvine_and_newport beach.json,irvine_and_pismo beach.json,irvine_and_sacramento.json,irvine_and_san diego.json,irvine_and_san jose.json,irvine_and_santa barbara.json,irvine_and_santa cruz.json,irvine_and_santa monica.json,irvine_and_sausalito.json,carlsbad_and_los angeles.json,huntington beach_and_malibu.json,huntington beach_and_san jose.json,irvine_and_temecula.json,long beach_and_napa.json,long beach_and_newport beach.json,long beach_and_oakland.json,long beach_and_pasadena.json,long beach_and_pismo beach.json,long beach_and_riverside.json,long beach_and_sacramento.json,long beach_and_san bernardino.json,long beach_and_san diego.json,long beach_and_san francisco.json,long beach_and_san jose.json,long beach_and_san luis obispo.json,long beach_and_santa ana.json,long beach_and_santa clarita.json,long beach_and_santa cruz.json,long beach_and_santa monica.json,long beach_and_stockton.json,long beach_and_temecula.json,los angeles_and_malibu.json,los angeles_and_napa.json,long beach_and_los angeles.json,long beach_and_malibu.json,los angeles_and_pismo beach.json,los angeles_and_riverside.json,los angeles_and_san diego.json,los angeles_and_san francisco.json,los angeles_and_san jose.json,los angeles_and_santa ana.json,los angeles_and_sausalito.json,los angeles_and_stockton.json,los angeles_and_temecula.json,malibu_and_napa.json,malibu_and_newport beach.json,malibu_and_pasadena.json,malibu_and_pismo beach.json,malibu_and_riverside.json,malibu_and_sacramento.json,malibu_and_san diego.json,malibu_and_san francisco.json,malibu_and_san jose.json,malibu_and_san luis obispo.json,malibu_and_santa ana.json,malibu_and_santa barbara.json,malibu_and_santa cruz.json,malibu_and_sausalito.json,malibu_and_stockton.json,mammoth lakes_and_riverside.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_temecula.json,monterey_and_pasadena.json,monterey_and_san bernardino.json,monterey_and_san diego.json,monterey_and_santa barbara.json,napa_and_newport beach.json,napa_and_pismo beach.json,napa_and_san diego.json,napa_and_san luis obispo.json,napa_and_santa monica.json,long beach_and_monterey.json,long beach_and_santa barbara.json,los angeles_and_newport beach.json,los angeles_and_santa cruz.json,malibu_and_monterey.json,malibu_and_santa clarita.json,mammoth lakes_and_pismo beach.json,monterey_and_newport beach.json,monterey_and_santa monica.json,newport beach_and_oakland.json,newport beach_and_pasadena.json,newport beach_and_riverside.json,newport beach_and_sacramento.json,newport beach_and_san bernardino.json,newport beach_and_san diego.json,newport beach_and_san francisco.json,newport beach_and_san jose.json,newport beach_and_san luis obispo.json,newport beach_and_santa ana.json,newport beach_and_santa barbara.json,newport beach_and_santa clarita.json,newport beach_and_santa cruz.json,newport beach_and_santa monica.json,newport beach_and_stockton.json,newport beach_and_temecula.json,oakland_and_pasadena.json,oakland_and_riverside.json,oakland_and_san bernardino.json,oakland_and_san diego.json,oakland_and_san luis obispo.json,oakland_and_santa ana.json,oakland_and_santa barbara.json,oakland_and_santa clarita.json,oakland_and_santa monica.json,pasadena_and_pismo beach.json,pasadena_and_riverside.json,pasadena_and_sacramento.json,pasadena_and_san diego.json,pasadena_and_san francisco.json,pasadena_and_san jose.json,pasadena_and_san luis obispo.json,pasadena_and_santa ana.json,pasadena_and_santa cruz.json,pasadena_and_sausalito.json,pasadena_and_stockton.json,pismo beach_and_riverside.json,pismo beach_and_san bernardino.json,pismo beach_and_san diego.json,pismo beach_and_santa ana.json,pismo beach_and_santa clarita.json,pismo beach_and_santa monica.json,pismo beach_and_sausalito.json,pismo beach_and_stockton.json,riverside_and_sacramento.json,riverside_and_san diego.json,riverside_and_san francisco.json,riverside_and_santa monica.json,riverside_and_sausalito.json,riverside_and_stockton.json,sacramento_and_san luis obispo.json,sacramento_and_santa ana.json,sacramento_and_santa barbara.json,sacramento_and_santa clarita.json,sacramento_and_santa monica.json,san bernardino_and_san francisco.json,san bernardino_and_san jose.json,san bernardino_and_santa ana.json,san bernardino_and_santa barbara.json,san bernardino_and_santa clarita.json,san bernardino_and_santa monica.json,san bernardino_and_sausalito.json,san diego_and_san jose.json,san diego_and_san luis obispo.json,san diego_and_santa ana.json,san diego_and_santa barbara.json,san diego_and_santa clarita.json,san diego_and_santa cruz.json,san diego_and_santa monica.json,san diego_and_sausalito.json,san diego_and_stockton.json,san diego_and_temecula.json,san francisco_and_santa ana.json,san francisco_and_santa barbara.json,san francisco_and_santa clarita.json,san francisco_and_santa monica.json,san francisco_and_temecula.json,san jose_and_santa barbara.json,sacramento_and_san bernardino.json,newport beach_and_pismo beach.json,newport beach_and_sausalito.json,oakland_and_pismo beach.json,riverside_and_santa ana.json,san bernardino_and_stockton.json,san jose_and_santa monica.json,santa clarita_and_sausalito.json,big bear lake_and_huntington beach.json,san jose_and_temecula.json,san luis obispo_and_santa ana.json,san luis obispo_and_santa clarita.json,san luis obispo_and_santa monica.json,san luis obispo_and_sausalito.json,santa barbara_and_santa clarita.json,santa barbara_and_santa cruz.json,santa barbara_and_santa monica.json,santa barbara_and_sausalito.json,santa barbara_and_stockton.json,santa cruz_and_santa monica.json,santa monica_and_sausalito.json,santa monica_and_stockton.json,santa monica_and_temecula.json,stockton_and_temecula.json"
huntington garden,city,27,"Huntington Beach, Orange County, California, United States of America",pasadena_and_sausalito.json
north tijuana,city,33,"Tijuana, Baja California, México",san bernardino_and_san diego.json
santa paula,city,1020,"Santa Paula, Ventura County, California, United States of America","anaheim_and_santa clarita.json,beverly hills_and_pismo beach.json,bakersfield_and_santa clarita.json,beverly hills_and_fresno.json,beverly hills_and_san luis obispo.json,big bear lake_and_santa clarita.json,carlsbad_and_santa barbara.json,carlsbad_and_santa monica.json,fremont_and_santa barbara.json,huntington beach_and_mammoth lakes.json,huntington beach_and_santa clarita.json,mammoth lakes_and_san luis obispo.json,mammoth lakes_and_santa ana.json,mammoth lakes_and_santa barbara.json,monterey_and_san diego.json,malibu_and_santa clarita.json,newport beach_and_santa barbara.json,pismo beach_and_san bernardino.json,pismo beach_and_santa clarita.json,sacramento_and_san luis obispo.json,san bernardino_and_san luis obispo.json,san bernardino_and_santa barbara.json,san bernardino_and_santa clarita.json,san bernardino_and_santa monica.json,sacramento_and_san bernardino.json,santa clarita_and_sausalito.json,san luis obispo_and_santa clarita.json,santa barbara_and_santa clarita.json,santa clarita_and_temecula.json"
stanton,city,32,"Stanton, Orange County, California, United States of America",huntington beach_and_irvine.json
santa clara valley,city,28,"Santa Clara, Santa Clara County, California, United States of America",san jose_and_santa cruz.json
